"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
72164,{NL-Kempen},NL,52.88810000,6.21295000,,,2007,Podzols,,,true
72165,{NL-Kempen},NL,52.86110000,6.62608000,,,2007,Podzols,,,true
67865,{WD-WISE},FI,60.30000000,25.05000000,1974,Podzols,2006,Podzols,,,true
70341,"{EU-SOTER,WD-WISE}",RO,45.63000000,24.62000000,1997,Podzols,2006,Podzols,,,true
143453,{US-NCSS},US,18.21999930,-67.14516450,,,,,2006,Ultisol,true
155680,{US-NCSS},US,36.52369690,-88.45837400,,,,,2011,Ultisol,true
155224,{US-NCSS},US,47.20250000,-97.40833330,,,,,1957,Mollisol,true
179238,{US-NCSS},US,40.69870000,-84.34500000,,,,,,Alfisol,true
65409,{LAC-SOTER},HN,14.50000000,-87.65000153,1997,Phaeozems,2014,Phaeozems,,,true
49837,"{AF-AfSP-1.1,AF-AfSP-1.2}",CM,4.70000000,9.65000000,1974,Andosols,2014,Andosols,,Inceptisol,true
66780,"{US-NCSS,WD-WISE}",BG,43.25000000,24.75000000,,,2006,Luvisols,1983,Alfisol,true
63134,{AF-AfSP-1.2},ZM,-12.06167000,30.26070000,1974,Gleysols,2014,Gleysols,,Entisol,true
59222,{AF-AfSP-1.2},NG,12.39736500,13.95713000,1974,Vertisols,2014,Vertisols,,Vertisol,true
62790,{AF-AfSP-1.2},ZM,-17.16010100,24.04609100,1974,Arenosols,2014,Arenosols,,Entisol,true
66561,"{US-NCSS,WD-WISE}",PH,10.91388890,122.47777560,,,2006,Cambisols,,Entisol,true
59225,{AF-AfSP-1.2},NG,12.39393800,13.95716800,1974,Arenosols,2014,Arenosols,,Entisol,true
59130,"{AF-AfSP-1.0,AF-AfSP-1.1,AF-AfSP-1.2}",NG,12.47000000,13.77000000,1974,Fluvisols,2014,Fluvisols,,Entisol,true
66564,"{US-NCSS,WD-WISE}",PH,10.68750000,124.81250000,,,2006,Cambisols,,Inceptisol,true
65711,{LAC-SOTER},PA,9.03999996,-79.30000305,1997,Cambisols,2014,Cambisols,,,true
63017,{AF-AfSP-1.2},ZM,-13.49380000,28.10023000,1974,Nitosols,2014,Nitisols,,Ultisol,true
61940,"{AF-AfSP-1.0,AF-AfSP-1.1,AF-AfSP-1.2,WASP}",TZ,-10.84555600,38.92138900,1997,Luvisols,2007,Luvisols,,Alfisol,true
66945,{WD-WISE},ID,-6.71750000,106.91305556,1997,Andosols,2006,Andosols,1975,Inceptisol,true
67537,{WD-WISE},PH,13.00000000,124.00000000,1997,Andosols,2006,Andosols,1975,,true
69295,"{US-NCSS,WD-WISE}",US,36.29444500,-93.94222260,,,2006,Nitisols,,Ultisol,true
69447,{WD-WISE},VE,10.35277778,-67.68333333,1997,Acrisols,2006,Acrisols,1975,Ultisol,true
63909,{CN-SOTER},CN,42.41698456,83.20878601,1997,Chernozems,2014,Chernozems,,,true
63912,{CN-SOTER},CN,43.37990570,83.59548950,1997,Chernozems,2014,Chernozems,,,true
65410,{LAC-SOTER},JM,18.25000000,-78.16699982,1997,Histosols,2014,Histosols,,Histosol,true
66777,"{US-NCSS,WD-WISE}",CO,4.57388880,-71.33611300,,,2006,Cambisols,,Oxisol,true
67512,{WD-WISE},NO,59.66666667,10.83333333,1997,Podzols,2006,Podzols,1975,Spodosol,true
52863,"{AF-AfSP-1.0,AF-AfSP-1.1,AF-AfSP-1.2,US-NCSS,WD-WISE}",KE,-1.87277800,37.36666700,,,2006,Ferralsols,,Ultisol,true
63016,{AF-AfSP-1.2},ZM,-13.49380000,28.10023000,1974,Nitosols,2014,Nitisols,,Ultisol,true
66674,"{US-NCSS,WD-WISE}",TH,16.83083340,101.98500060,,,2006,Luvisols,,Alfisol,true
62122,"{AF-AfSP-1.0,AF-AfSP-1.1,AF-AfSP-1.2,WD-WISE}",ZA,-28.99666700,17.76666700,1997,Regosols,2006,Regosols,,Entisol,true
63038,{AF-AfSP-1.2},ZM,-14.59916900,28.65945800,1974,Regosols,2014,Regosols,,Entisol,true
66786,"{US-NCSS,WD-WISE}",BG,42.83333210,23.00000000,,,2006,Vertisols,1983,Vertisol,true
69549,"{WD-ISIS,WD-WISE}",ES,38.95000000,-6.30000000,1974,Vertisols,2014,Vertisols,1975,Vertisol,true
51653,"{AF-AfSP-1.1,AF-AfSP-1.2}",ET,13.30000000,40.10000000,1974,Xerosols,,,,,true
51668,"{AF-AfSP-1.1,AF-AfSP-1.2}",ET,9.40000000,40.20000000,1974,Xerosols,,,,,true
206255,{MX-INEGI},MX,19.69600909,-101.14891298,1974,Rankers,,,,,true
52590,"{AF-AfSP-1.1,AF-AfSP-1.2}",GW,11.43472200,-15.17222200,1974,Ferralsols,,Ferralsols,,,true
52594,"{AF-AfSP-1.1,AF-AfSP-1.2}",GW,11.33750000,-15.10777800,1974,Ferralsols,,Ferralsols,,,true
52598,"{AF-AfSP-1.1,AF-AfSP-1.2}",GW,11.33277800,-15.08277800,1974,Ferralsols,,Ferralsols,,,true
206585,{MX-INEGI},MX,18.33986827,-100.50562228,1974,Rankers,,,,,true
207837,{MX-INEGI},MX,16.97729837,-94.99920280,1974,Rankers,,,,,true
207841,{MX-INEGI},MX,16.92027005,-94.72500860,1974,Rankers,,,,,true
207878,{MX-INEGI},MX,16.54876081,-95.46419443,1974,Xerosols,,,,,true
207895,{MX-INEGI},MX,16.46078907,-95.64389765,1974,Xerosols,,,,,true
208367,{MX-INEGI},MX,24.00019941,-109.82856611,1974,Yermosols,,,,,true
208390,{MX-INEGI},MX,23.74614957,-110.05014040,1974,Yermosols,,,,,true
