profile_id,profile_layer_id,upper_depth,lower_depth,tceq_value_avg,clay_value_avg,elcosp_value_avg,orgc_value_avg,phaq_value_avg,sand_value_avg,silt_value_avg,latitude,longitude
212720,1058050,33,50,,40.0,1.0,,8.10000038,18.0,42.0,25.98476554,-98.13276568
212720,1058051,76,98,,48.0,1.0,,8.10000038,24.0,28.0,25.98476554,-98.13276568
212734,1058088,54,69,,,1.0,,8.5,,,25.78316498,-97.68739125
212734,1058089,0,19,,18.0,1.0,,7.599999900000001,58.0,24.0,25.78316498,-97.68739125
212734,1058090,19,54,,20.0,1.0,,7.900000099999999,54.0,26.0,25.78316498,-97.68739125
212734,1058091,69,90,,20.0,1.0,,8.5,58.0,22.0,25.78316498,-97.68739125
212937,1058223,50,70,,,12.3000002,,7.69999981,,,25.29469986,-99.17782058
212937,1058221,0,26,,54.0,2.0999999,,7.900000099999999,18.0,28.0,25.29469986,-99.17782058
212937,1058222,26,50,,58.0,3.0,,8.10000038,18.0,24.0,25.29469986,-99.17782058
212986,1058257,62,88,,,1.0,,7.80000019,,,24.83544633,-100.70899058
212986,1058256,38,62,,4.0,1.0,,7.80000019,68.0,28.0,24.83544633,-100.70899058
212986,1058258,88,125,,8.0,1.0,,7.80000019,50.0,42.0,24.83544633,-100.70899058
212986,1058259,21,38,,8.0,1.0,,7.900000099999999,54.0,38.0,24.83544633,-100.70899058
212986,1058260,0,10,,12.0,2.0,,7.69999981,24.0,64.0,24.83544633,-100.70899058
212986,1058261,10,22,,18.0,1.0,,7.80000019,54.0,28.0,24.83544633,-100.70899058
213195,1058388,0,16,,,1.0,,7.19999981,,,31.38218464,-115.94581065
213289,1058580,14,60,,,3.5,,8.10000038,,,31.00467098,-115.9203489
213289,1058581,0,11,,6.0,1.0,,8.10000038,72.0,22.0,31.00467098,-115.9203489
213289,1058582,11,14,,8.0,1.0,,7.900000099999999,68.0,24.0,31.00467098,-115.9203489
213532,1058959,0,20,,,1.0,,7.80000019,,,31.2920876,-108.02592022
213532,1058960,42,65,,24.0,2.0,,8.10000038,58.0,18.0,31.2920876,-108.02592022
213532,1058961,65,98,,18.0,2.20000005,,8.10000038,58.0,24.0,31.2920876,-108.02592022
213532,1058962,20,42,,24.0,1.0,,8.10000038,62.0,14.0,31.2920876,-108.02592022
213583,1059037,0,10,,,1.0,,7.900000099999999,,,30.91415634,-111.80383098
213583,1059038,40,72,,,1.0,,8.80000019,,,30.91415634,-111.80383098
213583,1059039,35,40,,20.0,1.0,,8.39999962,56.0,24.0,30.91415634,-111.80383098
213583,1059040,10,35,,22.0,1.0,,8.30000019,48.0,30.0,30.91415634,-111.80383098
214059,1059552,30,60,,,1.0,,8.39999962,,,29.73390591,-109.13837617
214059,1059550,0,30,,44.0,1.0,,8.30000019,32.0,24.0,29.73390591,-109.13837617
214059,1059551,60,90,,42.0,1.0,,8.60000038,36.0,22.0,29.73390591,-109.13837617
